"Gene","Maximally.Diverse..n.43k.","NFE..n.43k.","NFE..n.440k.","Full.Dataset..n.460k.","AFR","ASJ","EAS","SAS","NFE..n.20k."
"'A1BG'",0.703268773152927,0.671693440480755,1.1270361847767,1.07847114810583,0.388353729599493,1.21899920679841,0.886544877671569,0.761874504249004,0.571405878186753
"'A1CF'",0.228338313760572,0.141257739444428,0.517835644273742,0.447686930128995,0.149621684543111,0,0,0,0.392112000871602
"'A2M'",0.414754722159842,0.358043987792089,0.635836736941123,0.603559865135235,0.380843958712811,0.489326783315854,0.396751445931774,0.240652516384846,0.458743859358614
"'A2ML1'",0.732450408328377,0.682673859739098,0.73648866239983,0.780428109624662,0.605522203011533,0.885535601005239,0.471763213986862,0.786852297867386,0.607512742797896
"'A3GALT2'",1.3231020877359,1.49568062091885,1.35415604208446,1.33292363027477,1.02993983585462,1.39108757050494,1.99590825333318,1.66655045575344,1.33060550222212
"'A4GALT'",1.7701808275282,2.05762711864407,3.315065913371,3.07781748243342,0.989571914439104,2.55005070259308,1.00456542829424,0.933821384048169,2.73005428159965
"'A4GNT'",0.753672649380317,0.48845360564458,0.710694053954888,0.728473867790093,0.483201416336574,2.99584878128676,0.99861626042892,0.226958241006573,0.948053411799607
"'AAAS'",0.554371624086908,0.732256333362218,0.79907472378152,0.749864843431339,0.370585379145053,0,0.177572160840338,0.549900885182982,0.743071196131875
"'AACS'",0.576211229484429,0.808271298858822,0.967713899066488,0.966382928903237,0.466731095882387,0,0.990035657932337,0.327530593601675,0.456483506950838
"'AADAC'",1.22490594643675,1.30942999930173,1.32338630650431,1.34832395967702,0.80106305839635,0,0.469588689404757,1.80239188139179,0.756559555152108
"'AADACL2'",0.803591077485264,0.798919036337094,0.945744186616307,0.919437236465804,0.613455688615983,0,2.0612111137497,1.2524720309243,0.696355105996521
"'AADACL3'",3.01565766752709,2.906077083678,2.95184207712175,3.35771143074197,1.60206813587377,2.7769181021812,2.45022185486576,4.06378258855785,2.45022185486576
"'AADACL4'",1.4487873359564,1.68368142784048,1.5733570702216,1.7531332867389,1.33784416158136,0,1.76786549923251,0.825003899641837,0.916670999602041
"'AADAT'",0.401293680300988,0.3645594460432,0.713108566266105,0.657118401492868,0.333774426155107,0,0,0.375496229424496,0.589013693214895
"'AAED1'",0.99767068474498,1.11567474423094,1.16581742936492,1.12649903142376,0.99767068474498,0,1.26021560178313,0.760130045519985,1.04673645612588
"'AAGAB'",0.497797427450226,0.436530051764044,0.742952260801758,0.663650699221232,0.412719321667824,0.51589915208478,0.31527170405181,0.370101565626037,0.616835942710062
"'AAK1'",0.159887290823757,0.390220444708966,0.505302334353373,0.441634624923999,0.0469554055235286,0,0.113475563348527,0.244617980871077,0.280351391802244
"'AAMDC'",0.591907022881497,0.582041905833472,0.556735736014626,0.590477295773088,0.831488436904961,0,0.831488436904961,1.55211174888926,0.223862271474413
"'AAMP'",0.522487767198685,0.517664803193774,0.749125318165387,0.705979151532392,0.295808458967871,0,0.310121771498574,0.325890675134095,0.600860932278488
"'AANAT'",1.20076581790843,0.876705929742013,1.26526688536286,1.54819410274553,1.06178829268755,1.73747175167053,0,1.61511458605993,0.251476174583893
"'AAR2'",1.01459020728103,0.775542057313796,0.868688100750962,1.05621442091307,1.73624288369272,2.88058478430838,0,0.609354473603697,0.528107210456537
"'AARD'",0.909714129272615,0.770388541906539,0.904900827001331,1.00455950838914,1.58357644725233,3.56304700631774,0,0.890761751579435,0.695228684159559
"'AARS'",0.229045651819484,0.381695183842064,0.527537522370652,0.475206802895808,0.105216104777417,0,0.277203968355888,0.187202679928652,0.305970417902254
"'AARS2'",0.495104686800508,0.641469243261764,0.752753938290115,0.707328962294324,0.402876557731728,0.29593114422476,0.211379388731972,0.453882123044111,0.55836064948068
"'AARSD1'",2.88038957368638,1.80024348355399,1.71451760338475,1.94143905089156,3.37545653166373,NA,0,3.60048696710798,3.00040580592332
"'AASDH'",0.804012480842651,0.83717687525868,1.09896508380863,1.02845730594112,0.687848977565068,0.544164968918142,0.669055289653454,0.752568574035729,0.943401579280197
"'AASDHPPT'",0.715379366067473,0.446734793999941,0.813931013053397,0.807152533954151,0.551438261343677,0,1.32345182722482,0,0.959023063206394
"'AASS'",0.729517081282331,0.693761145390532,0.74102132923658,0.782336584933147,0.541889486635976,0,0.600978499806388,0.588458114393755,0.614043249802179
"'AATF'",0.65548232585428,0.747409725211892,0.804173968770184,0.755471155221882,0.455387721119815,1.31096465170856,0.206008730982774,0.460232271344494,0.970618059438068
"'AATK'",0.483146910534406,0.578173815326082,1.1806856567653,1.1030173028387,0.434170374398042,0,0.248000292105298,0.554980596373173,0.326074458138447
"'ABAT'",0.406657353832152,0.473688785782507,0.708467675247383,0.699821623216367,0.248686612535816,0,0,0.616214615132996,0.205809610374468
"'ABCA1'",0.254614661891833,0.36018717677858,0.518863514604895,0.477344833741506,0.066617482275066,0.119228211866657,0.0516655584755512,0.250729916131351,0.321334571006477
"'ABCA10'",0.889566518982552,0.699129564628523,0.728886455881456,0.779116558726405,1.07344173602207,1.61322958042173,1.09518818498458,1.15107046242538,0.869809082753796
"'ABCA12'",0.233390563673858,0.254252025282295,0.481688693077983,0.440967998717662,0.171526078645239,0.154585231371635,0.0443078688644815,0.279050704195216,0.225855045835182
"'ABCA13'",0.674374992543001,0.720533193739209,0.830339425610821,0.802676381605941,0.50875293209472,0.334065389824542,0.553359848175622,0.543223017832631,0.745277236197549
"'ABCA2'",0.570974744533277,0.740651201635147,0.879237278103707,0.814610230310513,0.442555250289427,1.17763541059988,0.356859215333298,0.535761037462581,0.753830936647399
"'ABCA3'",0.236643852532974,0.330805459656397,0.813171666132207,0.752861672080352,0.128508864442889,0.464505999600858,0.0990946132481831,0.122507076817809,0.233818750360881
"'ABCA4'",0.428408713009475,0.494328644398775,0.609323034396425,0.578346627517591,0.171046460141523,0.384641790965017,0.319852836813108,0.2798855471433,0.522157516231595
