gene_name,gene_id,chrom,start,end,n_snps,fst_afr_sas,fst_afr_mel,fst_mel_sas,fst_afr_eur,fst_eur_mel,pbs1_african,pbs2_african,pbs3_melanesian,pbs4_melanesian
OR11H1,ENSG00000130538,chr22,15518191,15539139,0,,,,,,,,,
POTEH,ENSG00000198062,chr22,15680025,15731631,0,,,,,,,,,
CCT8L2,ENSG00000198445,chr22,16580750,16602810,65,0.588530383424598,0.5576675919721771,0.5513709095798648,0.6382554723782153,0.5604053302377325,0.4510774553469754,0.5053042422836542,0.36461616984705086,0.3103893829103721
XKR3,ENSG00000172967,chr22,16773411,16835411,0,,,,,,,,,
GAB4,ENSG00000215568,chr22,16951935,17018222,76,0.450769776211362,0.3056320597519824,0.30997858191040034,0.4636164454009709,0.28877846943540375,0.2964791093744622,0.323443875457091,0.06827417632502591,0.04130941024239709
IL17RA,ENSG00000177663,chr22,17074953,17125694,264,0.41411065213188625,0.4328165535160974,0.3592167146672522,0.4367117898266149,0.38177491542947806,0.3283164272887117,0.3300668393578328,0.23875606152074053,0.2370056494516195
TMEM121B,ENSG00000183307,chr22,17106296,17131367,184,0.4011051653004778,0.3538039491943598,0.36076731838031667,0.3877819591282117,0.35275114557360204,0.25091742226100644,0.24614734537397803,0.18573491476129217,0.19050499164832058
HDHD5,ENSG00000069998,chr22,17127510,17175287,332,0.43873882841320677,0.48763376332620967,0.41327727631972205,0.44120931148652864,0.44066860320770646,0.3565408032427645,0.33484138794431584,0.3121748004057742,0.3338742157042228
ADA2,ENSG00000093072,chr22,17168789,17268235,699,0.36602850392240355,0.5405424821927872,0.4938928751793775,0.37580410523374086,0.48920029480884114,0.2762265779997294,0.2886110442650872,0.5014822165462158,0.48909775028085806
CECR2,ENSG00000099954,chr22,17349948,17568151,0,,,,,,,,,
SLC25A18,ENSG00000182902,chr22,17553449,17600995,0,,,,,,,,,
ATP6V1E1,ENSG00000131100,chr22,17582135,17638749,423,0.2217457521084485,0.16999884214932712,0.08855751593198317,0.2397430888446714,0.09714738013463053,0.17215170372118727,0.17911554723533202,0.014176479470468517,0.007212635956323765
BCL2L13,ENSG00000099968,chr22,17618854,17740855,803,0.40513267703888917,0.5309790614719524,0.46938233051488154,0.4278149223172574,0.48508230571952277,0.321405607261996,0.3258262180083087,0.43570225922128014,0.4312816484749675
BID,ENSG00000015475,chr22,17724137,17784770,473,0.41163523814619923,0.5803628873649194,0.5315124919159896,0.3972931346214229,0.5549672094443113,0.3202636487730526,0.28254098667498534,0.548101309945487,0.5858239720435541
MICAL3,ENSG00000243156,chr22,17777648,18034561,2143,0.2965475464036812,0.33302716967159796,0.23682481855385243,0.29453459549870364,0.2587767508684395,0.24324663990408166,0.22722504779842403,0.16175932813241609,0.17778092023807368
PEX26,ENSG00000215193,chr22,18067922,18115396,0,,,,,,,,,
AC008079.12,ENSG00000288683,chr22,18067988,18141720,0,,,,,,,,,
TUBA8,ENSG00000183785,chr22,18100099,18156683,0,,,,,,,,,
USP18,ENSG00000184979,chr22,18140169,18187397,0,,,,,,,,,
GGTLC3,ENSG00000274252,chr22,18506343,18528161,0,,,,,,,,,
TMEM191B,ENSG00000278558,chr22,18517801,18540573,0,,,,,,,,,
RIMBP3,ENSG00000275793,chr22,18595814,18621919,0,,,,,,,,,
FAM246B,ENSG00000286175,chr22,18623983,18644682,0,,,,,,,,,
DGCR6,ENSG00000183628,chr22,18896027,18924238,101,0.5200269768622792,0.3884341680106386,0.43593950691086447,0.4718292061126922,0.4080603135923157,0.3265821377775974,0.3028588585194413,0.1651505353070874,0.18887381456524366
AC007326.13,ENSG00000283809,chr22,18896237,18957732,101,0.5200269768622792,0.3884341680106386,0.43593950691086447,0.4718292061126922,0.4080603135923157,0.3265821377775974,0.3028588585194413,0.1651505353070874,0.18887381456524366
PRODH,ENSG00000100033,chr22,18902776,18946553,94,0.515036547030162,0.4349124750720143,0.5203500676487554,0.5366635290473537,0.4642527616471911,0.2798788226428241,0.3579918093958044,0.2908958258134346,0.21278283906045437
DGCR2,ENSG00000070413,chr22,19026281,19132454,675,0.31988055457521253,0.4347715768818853,0.35116316398667297,0.28143427428509943,0.33149910920243286,0.2617190899242143,0.24915294614030015,0.3088062509095122,0.32137239469342627
ESS2,ENSG00000100056,chr22,19120278,19154684,268,0.2951625040249958,0.5493604094878644,0.5006166246519081,0.27383554076441613,0.497251600482168,0.22624710351899302,0.21470036061260167,0.5708402895577844,0.5823870324641758
TSSK2,ENSG00000206203,chr22,19121307,19142622,165,0.3511844196800719,0.5254682771849816,0.42760353172062743,0.36123909496788775,0.39376328754567086,0.31005508449546004,0.3465835592500455,0.435371723423739,0.39884324866915355
GSC2,ENSG00000063515,chr22,19136992,19160292,177,0.32527224339589333,0.5983631114934991,0.4875860238410896,0.31650729942302613,0.5212449388170632,0.31851521026626445,0.2780899982216433,0.5936916507058109,0.6341168627504321
SLC25A1,ENSG00000100075,chr22,19165580,19188739,157,0.5056972417616921,0.5367653392673442,0.5001172036159152,0.3995894517193068,0.4927794618374665,0.3903734949892231,0.30042687690914427,0.3791480316635135,0.46909464974359244
CLTCL1,ENSG00000070371,chr22,19169472,19301719,773,0.483266063801145,0.45792760187049686,0.42736127538992386,0.39980619496563824,0.35973664452302445,0.357541309259122,0.33849134188699304,0.25481440131914085,0.2738643686912698
HIRA,ENSG00000100084,chr22,19320697,19457450,640,0.4362849453437543,0.4461364829866209,0.4693676014686452,0.48915331490338976,0.5326951430692476,0.2651787900987699,0.25087465450130114,0.32565819166911764,0.3399623272665865
C22orf39,ENSG00000242259,chr22,19341367,19457711,562,0.3968678703707319,0.4497683536576077,0.4765616444360389,0.45788780778871285,0.49567919957999257,0.2278494450245247,0.26257775594692906,0.36956646923247477,0.33483815831007036
MRPL40,ENSG00000185608,chr22,19422544,19446075,110,0.4253355421280226,0.5055741952861954,0.5054919641412869,0.49612956851098877,0.39598898421833,0.27706763133288104,0.44281573068816527,0.42729054886742057,0.2615424495121363
UFD1,ENSG00000070010,chr22,19439910,19489202,255,0.5212460192505185,0.6410403243644357,0.562204212528982,0.5473511799542558,0.5497154375987455,0.4675554642993306,0.5096541857946439,0.556989756638274,0.5148910351429608
CDC45,ENSG00000093009,chr22,19469456,19530612,313,0.483948292785575,0.5611435239509118,0.5135249635287282,0.4871856755306594,0.5381643968476699,0.3822807363820787,0.35943900228277265,0.4413021168083587,0.46414385090766463
CLDN5,ENSG00000184113,chr22,19513023,19537545,149,0.4775176113963921,0.49506052928384586,0.45346155870925964,0.37565080830446945,0.4685765239664653,0.36416504281596385,0.26108305649439767,0.31915167404260514,0.42223366036417126
SEPTIN5,ENSG00000184702,chr22,19704502,19734224,164,0.2714952556615529,0.3713476893659293,0.28151764041545907,0.2348221434871657,0.30735069718495134,0.2251619779010026,0.18229622798923587,0.23901496249939397,0.28188071241116064
