gene_name,gene_id,chrom,start,end,n_snps,fst_afr_sas,fst_afr_mel,fst_mel_sas,fst_afr_eur,fst_eur_mel,pbs1_african,pbs2_african,pbs3_melanesian,pbs4_melanesian
IQSEC3,ENSG00000120645,chr12,56766,188455,867,0.34505332377054143,0.44659481762553266,0.4220312187091538,0.38135749016329007,0.40264739845443376,0.23331544034302787,0.2783224155735658,0.3583494067214083,0.31334243149087027
SLC6A12,ENSG00000111181,chr12,180076,224570,415,0.37282478310005707,0.26285815171308274,0.2651881048977548,0.29843565210131884,0.262399561209715,0.2316817626045181,0.17753229047708335,0.07329317556127968,0.12744264768871444
SLC6A13,ENSG00000010379,chr12,210620,272873,459,0.35794441481045886,0.6395476475372489,0.5714659197072994,0.44099114983921317,0.5811848023458925,0.3080454446359175,0.3658299817212615,0.712350057056252,0.6545655199709081
KDM5A,ENSG00000073614,chr12,270056,399320,651,0.4332036472131865,0.6250269637954801,0.6115905792115486,0.40873150550933707,0.5666106831527866,0.3014805387501391,0.3351336892866573,0.679420620301378,0.6457674697648597
CCDC77,ENSG00000120647,chr12,379272,452642,341,0.4833977880488674,0.6854743930261264,0.6958972308578366,0.49706232623880464,0.6424280956401701,0.3133911616007594,0.40778000226151945,0.8432986233348265,0.7489097826740666
B4GALNT3,ENSG00000139044,chr12,449938,573509,884,0.39427809670308966,0.48093428626696955,0.45842044532151094,0.418275814960721,0.48343440782837305,0.2718968917582759,0.2684653176470656,0.3838278960171734,0.3872594701283837
NINJ2,ENSG00000171840,chr12,554295,673589,802,0.33978458366839503,0.4462302625625868,0.3892973953987365,0.3864759999482424,0.42042559885608344,0.2565251250227526,0.2670404874041961,0.3344811900074097,0.32396582762596604
WNK1,ENSG00000060237,chr12,742578,921452,801,0.4152056704594924,0.428781988465207,0.3717051655727403,0.403943877167705,0.3994951914063398,0.31586683077139094,0.28371007816729066,0.24411750488351242,0.2762742574876127
RAD52,ENSG00000002016,chr12,901735,1000053,546,0.5267673018241079,0.5598754298313885,0.5311171376973342,0.5526912394730145,0.510703499235057,0.40573161249332934,0.45520851463981904,0.41496586562614074,0.36548896347965104
ERC1,ENSG00000082805,chr12,980508,1505933,3611,0.3719391197053997,0.41269543623656463,0.3866929668304851,0.3743340037757944,0.3676924885627427,0.2542201605651871,0.2713854569590711,0.2779915851653305,0.26082628877144637
WNT5B,ENSG00000111186,chr12,1519890,1657212,1101,0.4449471328807273,0.4643272390885645,0.43418438543116006,0.41835635279189864,0.43573814706652364,0.3217183577889022,0.2969461384313976,0.3025134672536972,0.3272856866112017
FBXL14,ENSG00000171823,chr12,1555992,1604581,295,0.48883759634962304,0.5521579345487255,0.45577988337372394,0.5774023132250264,0.5339580419580421,0.4329905386451967,0.45058483930574544,0.37032410255096987,0.35272980189042114
ADIPOR2,ENSG00000006831,chr12,1678573,1798674,750,0.4519855077070068,0.5940788189367571,0.5331627987206237,0.4569537299145998,0.5439254258676003,0.37063756632263845,0.3635290405996567,0.5309587072166746,0.5380672329396563
CACNA2D4,ENSG00000151062,chr12,1781962,1928666,1162,0.49085354524426117,0.5631764668450672,0.5173637114010873,0.5273315070464665,0.5473435004950455,0.38737680925723594,0.3924826280633359,0.44084917047502936,0.43574335166892947
LRTM2,ENSG00000166159,chr12,1810266,1846753,326,0.46063328202181975,0.5079562710128471,0.4869329836420163,0.4705600216404788,0.4333417751365607,0.32959922616385356,0.38856211352531805,0.37958846022038467,0.32062557285892024
DCP1B,ENSG00000151065,chr12,1936052,2014535,530,0.31873902150851563,0.6684346739083582,0.6564863738624965,0.33101914643100666,0.6159035284137993,0.2096058724937898,0.27453436776889667,0.8943245541600519,0.8293960588849449
CACNA1C,ENSG00000151067,chr12,1960771,2707950,5035,0.40462585539622337,0.5409504287084557,0.5163544899461905,0.42753107360618153,0.5026669217263887,0.2853796375177928,0.31894929931165,0.493217438778689,0.45964777698483184
