gene_name,gene_id,chrom,start,end,n_snps,fst_afr_sas,fst_afr_mel,fst_mel_sas,fst_afr_eur,fst_eur_mel,pbs1_african,pbs2_african,pbs3_melanesian,pbs4_melanesian
ZNF595,ENSG00000272602,chr4,43285,98208,187,0.1591011561630781,0.5403005855562784,0.40754148622119474,0.10510341349310216,0.49653090875078315,0.21349596482131672,0.10099830332029963,0.563686485128606,0.676184146629623
ZNF718,ENSG00000250312,chr4,114500,212303,0,,,,,,,,,
ZNF732,ENSG00000186777,chr4,260674,315474,329,0.17897192602949857,0.3252115132831095,0.2645829522634598,0.12594727788590881,0.3115418723235435,0.1416182183464047,0.07733489659393394,0.25173777188053015,0.3160210936330008
ZNF141,ENSG00000131127,chr4,327813,394868,412,0.24275547880076076,0.340929714210879,0.28932367208326226,0.3136930387699271,0.2958374096532461,0.17672798567495412,0.22130469182244944,0.24019710927324253,0.1956204031257473
ZNF721,ENSG00000182903,chr4,415814,509156,499,0.2893553214929041,0.3927937602182955,0.3800063597712408,0.31014593723004513,0.38912112159788137,0.1812117204861049,0.1886527045715745,0.31767505614708275,0.3102340720616132
PIGG,ENSG00000174227,chr4,489209,550200,444,0.3485932989149301,0.43716124767245834,0.35922370613903853,0.367280758053242,0.32524934766607694,0.27915416014301686,0.319539265180665,0.29560793966599375,0.2552228346283456
TMEM271,ENSG00000273238,chr4,563879,586295,0,,,,,,,,,
PDE6B,ENSG00000133256,chr4,615572,680782,91,0.14086595500555113,0.1389731338279056,0.0766577073180324,0.176070747780622,0.14542323226426213,0.1108523138938245,0.09307562110319725,0.03877725769548952,0.056553950486116805
ATP5ME,ENSG00000169020,chr4,662435,684330,109,0.12427136479034405,0.12350206496824287,0.08083869575633552,0.15972115313721158,0.14405764020604453,0.09011314659922093,0.07514508521611844,0.04170778394937978,0.05667584533248225
MYL5,ENSG00000215375,chr4,663579,692033,155,0.12413781380535653,0.11850674626949341,0.0711236607931363,0.16543624913369695,0.13245968532977595,0.09245239585363019,0.08244538952767516,0.03368553449002465,0.04369254081597966
SLC49A3,ENSG00000169026,chr4,671828,699271,170,0.08762159549308868,0.14203598772768733,0.1090060398001823,0.13623965111085812,0.10926470157487234,0.06473797582095571,0.09197253369463887,0.0884551482914456,0.06122059041776241
PCGF3,ENSG00000185619,chr4,695747,780640,442,0.3448555458146751,0.5371572314042335,0.4691336593785456,0.3509097418871855,0.45642214664488845,0.2800112000776609,0.2964845181776696,0.4903566751586203,0.4738833570586116
CPLX1,ENSG00000168993,chr4,774956,836129,360,0.31326307464286635,0.3886002797454547,0.3308105948977677,0.3014147395749481,0.3472055452985805,0.23306008875744388,0.2121047013174844,0.25894423831705726,0.27989962575701666
GAK,ENSG00000178950,chr4,839275,942373,601,0.36320079563205754,0.4593339577479446,0.42016606409789375,0.3433011777160903,0.40605638235155894,0.2606204239497833,0.25725619156837215,0.354333063923327,0.3576972963047381
TMEM175,ENSG00000127419,chr4,922386,968656,145,0.41812988733459117,0.42486504898083916,0.4708135281982041,0.37001054938411554,0.4837900611300182,0.22912209400634936,0.17698051755920013,0.3240284742909419,0.376170050738091
DGKQ,ENSG00000145214,chr4,948886,996895,184,0.3784748621360083,0.461986013986014,0.42460684958742456,0.3780876789528435,0.45493038693724797,0.2713739563162832,0.24399255994511698,0.3484967665334435,0.3758781629046096
SLC26A1,ENSG00000145217,chr4,969072,1003440,214,0.3903674462877464,0.44561538911763526,0.43770855156331456,0.3751161294585966,0.37500149711954195,0.25453024596538537,0.29504000932215185,0.3353663436750155,0.29485658031824913
IDUA,ENSG00000127415,chr4,976996,1014564,239,0.38923810211298976,0.4123330727121245,0.3927080102268284,0.34973861208622825,0.3346180884541331,0.26294873197710755,0.27729085167211753,0.2686462097906104,0.2543040900956004
FGFRL1,ENSG00000127418,chr4,999935,1036898,231,0.2944970643248093,0.3204569932397125,0.21315636764185344,0.3455753836837424,0.21081882682050093,0.24772668182438856,0.2867871363533777,0.13860807379560408,0.09954761926661501
RNF212,ENSG00000178222,chr4,1046249,1123564,531,0.5595509668816551,0.5744270777446515,0.49660843524788795,0.5704616896803623,0.4187261154767247,0.4939462775842158,0.5784150391391234,0.360372687914813,0.27590392635990535
SPON2,ENSG00000159674,chr4,1156931,1218962,376,0.4771943731885367,0.4912180350640451,0.47383952491686565,0.5166955027588033,0.5288596149375205,0.3410661106231792,0.3251224684176487,0.3346696032349531,0.3506132454404837
CTBP1,ENSG00000159692,chr4,1201444,1259953,463,0.4971047130893403,0.43589250750819436,0.40134916904905477,0.5121132579522665,0.4171970799268662,0.37340349650540466,0.3751381239496578,0.19910695961407143,0.19737233216981837
MAEA,ENSG00000090316,chr4,1279886,1350147,572,0.21748329151575416,0.21305451713054524,0.17992441471854648,0.29097784895943624,0.20771186940825334,0.14323877167479754,0.17531733162960456,0.0963575333739135,0.06427897341910654
UVSSA,ENSG00000163945,chr4,1335690,1405989,525,0.3680516848105732,0.38652702314986054,0.26507668771909465,0.3933864691449267,0.2459671969700938,0.3197888045063747,0.3530815173287361,0.16883025880895158,0.13553754598659015
NKX1-1,ENSG00000235608,chr4,1392931,1416442,47,0.5872801584163447,0.30888327824194806,0.3551337024120631,0.5817665301535502,0.33514114890168856,0.4078602719820098,0.41649074977812417,0.0,0.0
FAM53A,ENSG00000174137,chr4,1607914,1694261,651,0.38860472334808266,0.440844486262203,0.3861622121529194,0.37880593239964877,0.3953835893716539,0.2926573323668703,0.2771391641154604,0.2886703122618564,0.3041884805132664
SLBP,ENSG00000163950,chr4,1682730,1722344,225,0.46686112452453177,0.37804113865202577,0.4214433581039511,0.40062429662429666,0.3526169400369827,0.27831791832687,0.27596544173966686,0.1965634094153268,0.19891588600252985
TACC3,ENSG00000013810,chr4,1702857,1755171,346,0.43143921615778275,0.36955128553794014,0.37450002586864395,0.36231305123298685,0.3270185352795557,0.27838326466638097,0.2575968844614849,0.18294020327852684,0.20372658348342298
TMEM129,ENSG00000168936,chr4,1705951,1731358,195,0.44541107597018254,0.36700996287385157,0.35048581630765974,0.37564610902929313,0.3016748915188193,0.3076490539745489,0.2846340106551855,0.14965154212447979,0.17266658544384317
FGFR3,ENSG00000068078,chr4,1783292,1818872,69,0.3658861321288886,0.4894908817077563,0.5053041989698154,0.3634837951991237,0.4303431268528437,0.21203063484946127,0.28068555288589897,0.4603161451943385,0.3916612271579008
LETM1,ENSG00000168924,chr4,1801478,1866156,235,0.3560801102010737,0.574926415203662,0.7029266250316722,0.4276986869919377,0.7320535815479714,0.040948911379203756,0.04830719502130443,0.8145440729683711,0.8071857893262703
NSD2,ENSG00000109685,chr4,1861392,1992207,548,0.32460004762083794,0.5277116971545941,0.6283368972810824,0.315284400251713,0.6613172787883129,0.0764242186959036,0.02311292152560751,0.6737414500567103,0.7270527472270063
NELFA,ENSG00000185049,chr4,1972716,2051903,323,0.2565057611828117,0.5364545998628433,0.4923871438750371,0.2489929993516277,0.4308423097042923,0.19360449687851244,0.24579675309311338,0.5752464512210913,0.5230541950064904
C4orf48,ENSG00000243449,chr4,2031994,2053964,48,0.455299433234985,0.41404825537194323,0.32162042822180875,0.45044401770581005,0.421990011452141,0.3769942933091609,0.29249917116695034,0.15752354653776585,0.24201866867997635
NAT8L,ENSG00000185818,chr4,2049326,2079089,0,,,,,,,,,
POLN,ENSG00000130997,chr4,2061917,2252121,872,0.4773530237161902,0.3635970050783833,0.4058183276683416,0.5011271871760913,0.4340917021732979,0.29010107808223184,0.28900207222665425,0.16182219841086537,0.16292120426644285
HAUS3,ENSG00000214367,chr4,2068997,2252276,875,0.47720496801640927,0.3635970050783833,0.4058183276683416,0.5010529035514212,0.4340917021732979,0.28995945788751987,0.288927626302979,0.1619638186055773,0.16299565019011808
MXD4,ENSG00000123933,chr4,2237431,2272109,209,0.3065205289994956,0.3177978302284991,0.34868004540963343,0.3299560593971331,0.3481823359803612,0.15985429716506508,0.17742540081611902,0.22257493128715825,0.20500382763610425
ZFYVE28,ENSG00000159733,chr4,2259581,2428651,1203,0.45098918223872164,0.49489947646500254,0.4038441907957045,0.49025392319027383,0.4156617939832091,0.38269086247579964,0.4097825174917143,0.30030695053514944,0.27321529551923474
CFAP99,ENSG00000206113,chr4,2408973,2472942,399,0.38599964822298366,0.48172757924279513,0.39688331577288805,0.34477557326394537,0.410223635684989,0.3196847246405198,0.2760099372450707,0.337569541526007,0.381244328921456
RNF4,ENSG00000063978,chr4,2452219,2635320,932,0.5153343268986907,0.5473037908119777,0.49367134598181817,0.5100580891984197,0.5109122522387339,0.4181303256238956,0.3953945401590077,0.3744036727353023,0.3971394582001903
